company_name,industry,symbol,Series,sector,ticker,f&o
Bank of Baroda,Financial Services,BANKBARODA,EQ,Financial Services,BANKBARODA.NS,F&O
Bank of India,Financial Services,BANKINDIA,EQ,Financial Services,BANKINDIA.NS,F&O
BASF India Limited,Chemicals,BASF,EQ,Chemicals,BASF.NS,#N/A
Bata India Limited,Consumer Durables,BATAINDIA,EQ,Consumer Durables,BATAINDIA.NS,#N/A
Bayer Cropscience Limited,Chemicals,BAYERCROP,EQ,Chemicals,BAYERCROP.NS,#N/A
Bharat Bijlee Limited,Capital Goods,BBL,EQ,Capital Goods,BBL.NS,#N/A
Black Box Limited,Information Technology,BBOX,EQ,Information Technology,BBOX.NS,#N/A
Bombay Burmah Trading Corporation Limited,Fast Moving Consumer Goods,BBTC,EQ,Fast Moving Consumer Goods,BBTC.NS,#N/A
Bharat Dynamics Limited,Capital Goods,BDL,EQ,Capital Goods,BDL.NS,F&O
Mrs. Bectors Food Specialities Limited,Fast Moving Consumer Goods,BECTORFOOD,EQ,Fast Moving Consumer Goods,BECTORFOOD.NS,#N/A
Bharat Electronics Limited,Capital Goods,BEL,EQ,Capital Goods,BEL.NS,F&O
BEML Limited,Capital Goods,BEML,EQ,Capital Goods,BEML.NS,#N/A
Berger Paints (I) Limited,Consumer Durables,BERGEPAINT,EQ,Consumer Durables,BERGEPAINT.NS,#N/A
Bharat Forge Limited,Capital Goods,BHARATFORG,EQ,Capital Goods,BHARATFORG.NS,F&O
Bharat Rasayan Limited,Chemicals,BHARATRAS,EQ,Chemicals,BHARATRAS.NS,#N/A
Bharti Airtel Limited,Telecommunication,BHARTIARTL,EQ,Telecommunication,BHARTIARTL.NS,F&O
Bharti Hexacom Ltd.,Telecommunication,BHARTIHEXA,EQ,Telecommunication,BHARTIHEXA.NS,#N/A
Bharat Heavy Electricals Limited,Capital Goods,BHEL,EQ,Capital Goods,BHEL.NS,F&O
Bikaji Foods International Limited,Fast Moving Consumer Goods,BIKAJI,EQ,Fast Moving Consumer Goods,BIKAJI.NS,#N/A
Biocon Ltd.,Healthcare,BIOCON,EQ,Healthcare,BIOCON.NS,F&O
Birla Corporation Limited,Construction Materials,BIRLACORPN,EQ,Construction Materials,BIRLACORPN.NS,#N/A
BLS International Services Ltd.,Consumer Services,BLS,EQ,Consumer Services,BLS.NS,#N/A
Blue Dart Express Limited,Services,BLUEDART,EQ,Services,BLUEDART.NS,#N/A
Blue Jet Healthcare Ltd.,Healthcare,BLUEJET,EQ,Healthcare,BLUEJET.NS,#N/A
Blue Star Limited,Consumer Durables,BLUESTARCO,EQ,Consumer Durables,BLUESTARCO.NS,F&O
Bombay Dyeing & Mfg Company Limited,Textiles,BOMDYEING,EQ,Textiles,BOMDYEING.NS,#N/A
Borosil Limited,Consumer Durables,BOROLTD,EQ,Consumer Durables,BOROLTD.NS,#N/A
