ticker,Company Name,Industry,stage,rs_3m_pct,rs_6m_pct,avg_turnover_inr,notes,weekly_setup_bucket,weekly_score,final_weekly_score,weekly_pivot,weekly_breakout_distance_pct,weekly_contraction_depths_pct,weekly_contraction_durations,weekly_contraction_score,weekly_base_duration_weeks,weekly_vcp_quality
BALAMINES.NS,Balaji Amines Limited,Chemicals,Stage 2,104.41,92.9,1277507822.9,"Stage 2, weekly_vcp_ok, weekly_strong",weekly_breakout,65.8,68.3,1335.43,55.49,"[26.91, 27.38]","[9, 11]",0.9,21.0,strong
SHILPAMED.NS,Shilpa Medicare Limited,Healthcare,Stage 2,74.31,74.42,792061847.07,"Stage 2, weekly_vcp_ok, weekly_strong",weekly_breakout,65.8,68.3,351.51,57.16,"[37.47, 12.14]","[11, 5]",0.9,18.0,strong
NEOGEN.NS,Neogen Chemicals Limited,Chemicals,Stage 2,49.42,98.66,254889376.75,"Stage 2, weekly_vcp_ok, weekly_strong",weekly_breakout,65.8,68.3,1503.63,38.47,"[39.87, 26.64]","[13, 3]",0.9,29.0,strong
LT.NS,Larsen & Toubro Limited,Construction,Stage 2,21.33,11.35,8066088451.59,"Stage 2, daily_vcp_ok, weekly_vcp_ok, weekly_strong",weekly_breakout,68.27,68.27,4128.0,1.41,"[25.94, 7.28]","[4, 4]",0.9,11.0,strong
AIAENG.NS,AIA Engineering Limited,Capital Goods,Stage 2,22.03,29.27,632908843.97,"Stage 2, trend_template_ok, weekly_vcp_ok, weekly_strong",weekly_breakout,62.93,67.93,4117.19,9.09,"[22.67, 9.98]","[7, 3]",0.9,14.0,strong
MMTC.NS,MMTC Limited,Services,Stage 2,43.62,44.56,1084716984.51,"Stage 2, weekly_vcp_ok, weekly_strong",weekly_breakout,66.9,67.9,72.7,4.18,"[30.66, 31.09, 15.82]","[11, 11, 5]",0.95,34.0,strong
PAISALO.NS,Paisalo Digital Limited,Financial Services,Stage 2,70.26,64.72,736905350.19,"Stage 2, trend_template_ok, weekly_vcp_ok, weekly_strong",weekly_breakout,66.9,67.9,36.7,61.86,"[25.2, 19.83, 18.12]","[8, 8, 6]",0.95,26.0,strong
PRESTIGE.NS,Prestige Estates Projects Ltd.,Realty,Stage 2,21.15,-0.82,997576816.85,"Stage 2, weekly_vcp_ok, weekly_strong",weekly_breakout,67.83,67.83,1517.35,0.25,"[32.07, 14.31]","[7, 2]",0.9,14.0,strong
SAMHI.NS,Samhi Hotels Limited,Consumer Services,Stage 2,15.81,2.96,170593387.8,"Stage 2, weekly_vcp_ok, volume_dryup, weekly_strong",weekly_near_pivot,67.68,67.68,171.84,-0.85,"[37.47, 16.34]","[12, 5]",0.9,19.0,strong
GLAND.NS,Gland Pharma Limited,Healthcare,Stage 2,34.88,36.37,1414774739.84,"Stage 2, weekly_vcp_ok, weekly_strong",weekly_forming,64.92,67.42,2400.19,-9.23,"[19.88, 20.72]","[8, 6]",0.9,19.0,strong
IGIL.NS,International Gemmological Institute (India) Ltd.,Services,Stage 2,19.23,22.93,322893449.5,"Stage 2, weekly_vcp_ok, weekly_strong",weekly_near_pivot,66.35,67.35,385.62,-4.93,"[15.41, 16.75, 15.84, 9.82]","[5, 5, 4, 9]",0.73,35.0,strong
KPRMILL.NS,K.P.R. Mill Ltd.,Textiles,Stage 2,27.15,16.18,365275189.49,"Stage 2, weekly_vcp_ok, weekly_strong",weekly_breakout,62.13,67.13,990.88,6.43,"[29.35, 22.55]","[9, 5]",0.9,16.0,strong
AKUMS.NS,Akums Drugs and Pharmaceuticals Ltd.,Healthcare,Stage 2,26.4,47.72,225120976.22,"Stage 2, trend_template_ok, weekly_vcp_ok, weekly_strong",weekly_breakout,64.41,66.91,567.99,5.08,"[14.59, 14.82]","[3, 4]",0.9,11.0,strong
