ticker,Company Name,Industry,sector,is_fo_stock,fo_category,stage,overall_setup_label,final_combined_score,change_1d_pct,change_1w_pct,change_1m_pct,change_ytd_pct,last_close,stage_variant,stage_classification,stage_display
APARINDS.NS,Apar Industries Limited,Capital Goods,Unknown,False,Cash,Stage 2,watchlist,48.49,3.13,15.91,18.2,99.71,16631.0,Stage 2,Stage 2,Stage 2
MANINFRA.NS,Man Infraconstruction Limited,Construction,Unknown,False,Cash,Stage 4,watchlist,18.39,3.12,18.48,13.26,-10.29,113.85,Stage 4,Stage 4,Stage 4
CLEAN.NS,Clean Science and Technology Limited,Chemicals,Unknown,False,Cash,Stage 4,watchlist,8.0,3.05,9.07,3.55,-7.2,795.15,Stage 4,Stage 4,Stage 4
WELSPUNLIV.NS,Welspun Living Ltd.,Textiles,Unknown,False,Cash,Stage 2,watchlist,55.43,3.04,5.23,-1.41,24.34,164.09,Stage 2,Stage 2,Stage 2
CHENNPETRO.NS,Chennai Petroleum Corporation Limited,"Oil, Gas & Consumable Fuels",Unknown,False,Cash,Stage 2,watchlist,45.52,3.0,5.59,18.66,58.47,1275.4,Stage 2,Stage 2,Stage 2
ASTERDM.NS,Aster DM Healthcare Limited,Healthcare,Unknown,False,Cash,Stage 2,watchlist,79.11,2.99,5.78,7.75,43.98,869.7,Stage 2,Stage 2,Stage 2
LTM.NS,LTIMindtree Ltd.,Information Technology,Unknown,True,F&O,Stage 1,watchlist,38.9,2.87,6.79,20.85,-22.77,4658.1,Stage 1,Stage 1,Stage 1
WESTLIFE.NS,WESTLIFE FOODWORLD LIMITED,Consumer Services,Unknown,False,Cash,Stage 1,watchlist,37.41,2.85,17.39,19.65,10.53,594.85,Stage 1,Stage 1,Stage 1
JUBLFOOD.NS,Jubilant Foodworks Limited,Consumer Services,Unknown,True,F&O,Stage 4,watchlist,23.0,2.85,11.01,13.63,-11.8,486.5,Stage 4,Stage 4,Stage 4
SHILPAMED.NS,Shilpa Medicare Limited,Healthcare,Unknown,False,Cash,Stage 2,watchlist,70.41,2.84,26.01,27.61,140.54,759.75,Stage 2,Stage 2,Stage 2
M&M.NS,Mahindra & Mahindra Limited,Automobile and Auto Components,Unknown,True,F&O,Stage 1,watchlist,45.36,2.82,3.05,13.5,-5.91,3502.0,Stage 1,Stage 1,Stage 1
HLEGLAS.NS,HLE Glascoat Limited,Capital Goods,Unknown,False,Cash,Stage 1,watchlist,33.53,2.78,10.04,15.95,5.99,467.05,Stage 1,Stage 1,Stage 1
TDPOWERSYS.NS,TD Power Systems Limited,Capital Goods,Unknown,False,Cash,Stage 2 Failed,watchlist,33.38,2.7,19.38,16.86,87.33,1260.9,Stage 2 Failed,Stage 2 Failed,Stage 2 Failed
TEGA.NS,Tega Industries Limited,Capital Goods,Unknown,False,Cash,Stage 4,watchlist,35.76,2.68,10.04,-0.96,-16.62,1625.7,Stage 4,Stage 4,Stage 4
ARVIND.NS,Arvind Limited,Textiles,Unknown,False,Cash,Stage 2,watchlist,83.28,2.65,10.64,6.67,75.91,560.55,Stage 2,Stage 2,Stage 2
DEEPAKNTR.NS,Deepak Nitrite Limited,Chemicals,Unknown,False,Cash,Stage 2,watchlist,66.47,2.63,9.28,14.85,6.08,1796.5,Stage 2,Stage 2,Stage 2
NETWEB.NS,Netweb Technologies India Limited,Information Technology,Unknown,False,Cash,Stage 2,watchlist,74.34,2.62,9.25,15.3,60.68,4939.2,Stage 2,Stage 2,Stage 2
AGARWALEYE.NS,Dr. Agarwal's Health Care Ltd.,Healthcare,Unknown,False,Cash,Stage 2,watchlist,56.13,2.62,14.28,12.49,9.2,546.25,Stage 2,Stage 2,Stage 2
CARBORUNIV.NS,Carborundum Universal Limited,Capital Goods,Unknown,False,Cash,Stage 2,watchlist,42.72,2.61,3.12,0.9,28.14,1097.0,Stage 2,Stage 2,Stage 2
HIKAL.NS,Hikal Limited,Healthcare,Unknown,False,Cash,Stage 1,watchlist,31.92,2.58,4.68,-0.72,0.19,227.14,Stage 1,Stage 1,Stage 1
HONASA.NS,Honasa Consumer Ltd.,Fast Moving Consumer Goods,Unknown,False,Cash,Stage 2,watchlist,45.89,2.57,7.1,2.14,68.41,477.6,Stage 2,Stage 2,Stage 2
THANGAMAYL.NS,Thangamayil Jewellery Limited,Consumer Durables,Unknown,False,Cash,Stage 2 Failed,watchlist,13.77,2.55,-9.16,-22.28,62.28,5275.0,Stage 2 Failed,Stage 2 Failed,Stage 2 Failed
ROLEXRINGS.NS,Rolex Rings Limited,Automobile and Auto Components,Unknown,False,Cash,Stage 2,watchlist,42.94,2.54,14.41,9.7,22.42,156.68,Stage 2,Stage 2,Stage 2
JSWINFRA.NS,JSW Infrastructure Ltd.,Services,Unknown,False,Cash,Stage 2,watchlist,53.77,2.52,5.23,6.84,18.89,335.75,Stage 2,Stage 2,Stage 2
BHARATFORG.NS,Bharat Forge Limited,Capital Goods,Unknown,True,F&O,Stage 2,watchlist,62.83,2.5,2.97,6.32,55.33,2265.2,Stage 2,Stage 2,Stage 2
